active_worker_count,client_signal_send,completion_tokens,completion_tps,decode,env,event,got,http_5xx_count,iso,long_decode_probe_max_tokens,min_delay_s,min_generated_tokens,min_remaining_tokens,note,p50_latency_s,p95_latency_s,p99_latency_s,prefill,prompt_tokens,prompt_tps,req_s,requests,response,scenario,snapshot,snapshot_file,straggler,success,success_pct,timeout_count,total_active,total_tokens,total_tps,trigger,ts,valid_decode,valid_decode_pct,wall_s
,,252,14.776125645058196,,,prefill_burst_done,,1,2026-07-17T22:26:24,,,,,,2.82075572013855,5.109833002090454,5.419492721557617,,92625,5431.105705847283,3.694031411264549,64,,,,,,63,98.4375,0,,92877,5445.881831492342,,1784298384.9737322,63,98.4375,17.054538249969482
,,,,,,decode_pressure_signal,,,2026-07-17T22:26:28,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,,,,,,,,,,1784298388.0672154,,,
,,,,,,runtime_role_gate_before_p_to_d,,,2026-07-17T22:26:59,,,,,,,,,,,,,,,,"{'ts': 1784298388.068324, 'iso': '2026-07-17T22:26:28', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-2g2zb', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.97', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7xmmg', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.95', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dj562p', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.94', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dndwr5', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.96', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784298419.2211819,,,
,,,,,,decode_readiness_after_switch,,,2026-07-17T22:27:06,48,,,,,,,,,,,,,,,,,,,,,,,,,1784298426.4855494,,,
,,,,,,balanced_decode_start,,,2026-07-17T22:27:08,,,,,,,,,,,,,,,,,,,,,,,,,,1784298428.3272836,,,
,,2304,322.6546046430564,,,balanced_decode_done,,0,2026-07-17T22:27:15,,,,,,2.182579517364502,2.54262113571167,2.6728851795196533,,18840,2638.3735900499923,3.3609854650318374,24,,,,,,24,100.0,0,,21144,2961.028194693049,,1784298435.4733737,24,100.0,7.140762805938721
,,,,,,runtime_role_gate_after_p_to_d,,,2026-07-17T22:27:49,,,,,,,,,,,,,,,,"{'ts': 1784298437.3799393, 'iso': '2026-07-17T22:27:17', 'workers': [{'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-2g2zb', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.97', 'current_role_label': 'decode', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-7xmmg', 'component': 'VllmDecodeWorker', 'pod_ip': '10.244.0.95', 'current_role_label': '', 'sidecar_role': 'decode', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dj562p', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.94', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}, {'pod': 'vllm-v1-disagg-router-vllmprefillworker-41888dc2-54b8cf44dndwr5', 'component': 'VllmPrefillWorker', 'pod_ip': '10.244.0.96', 'current_role_label': '', 'sidecar_role': 'prefill', 'healthy': True}], 'role_counts': {'prefill': 2, 'decode': 2, 'unknown': 0}}",,,,,,,,,,1784298469.2952883,,,
,,,,,,tail_active_window_poll_start,,,2026-07-17T22:27:49,,4.0,8,24,continuously poll /v1/active_requests for the whole tail phase; signal consolidation when a token-progress-qualified straggler exists,,,,,,,,,,,,,,,,,,,,,1784298469.297994,,,
,,,,,,decode_tail_start,,,2026-07-17T22:28:14,,,,,,,,,,,,,,,,,,,,,,,,,,1784298494.8971918,,,
2,,,,,,tail_consolidation_signal,,,2026-07-17T22:28:31,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-03\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-2g2zb', 'generated_tokens': 1459, 'remaining_tokens': 6541}",,,,2,,,token_progress_straggler,1784298511.33186,,,
,,20300,499.41510138365663,,,decode_tail_done,,0,2026-07-17T22:28:55,,,,,,1.597599983215332,29.880927801132202,32.64663219451904,,5783,142.27179957151165,0.41822939524739716,17,,,,,,17,100.0,0,,26083,641.6869009551683,,1784298535.5495026,17,100.0,40.64754939079285
1,,,,,,tail_consolidation_signal,,,2026-07-17T22:28:55,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'active'}",,,reports\interleaved-5scenario-20260717-202840\mixed_strategy\run-03\active_requests_snapshots.jsonl,"{'worker': 'vllm-v1-disagg-router-vllmdecodeworker-41888dc2-b7ccc9b77-2g2zb', 'generated_tokens': 4524, 'remaining_tokens': 3476}",,,,2,,,token_progress_straggler,1784298535.8516989,,,
,,,,,,batch_complete_signal,,,2026-07-17T22:30:26,,,,,,,,,,,,,,"{'status': 'ok', 'state': 'cool_down'}",,,,,,,,,,,,1784298626.8940055,,,
