completion_tokens,content_chars,content_sha256,end_ts,error,finish_reason,http_code,latency_s,manifest_id,manifest_max_tokens,manifest_words,parse_ok,phase,prompt_tokens,shape,start_ts,total_tokens,valid_decode
96,439,59fa9e5aedaf37fca24af08490548554de10e53663d927f30df664547a0dd2db,1784538362.091439,,length,200,34.97269678115845,12,96,1243,True,A_prefill,4345,A_prefill,1784538327.1187422,4441,True
64,302,1877161b8888adc27b40eeffb069edebe2574b189d9376921d7129f3fc22e64b,1784538361.3407722,,length,200,34.22164535522461,13,64,1170,True,A_prefill,4135,A_prefill,1784538327.1191268,4199,True
64,284,990c5dd604c7e466bb5c56c3deece060a7b2a8de370dd90c1528fadc5d72ef54,1784538361.3387928,,length,200,34.219276905059814,14,64,1130,True,A_prefill,3978,A_prefill,1784538327.119516,4042,True
64,285,ef87229cbdc0213bcc8202932ac11d58f9be4089abbb43efb94a664b78ff007e,1784538361.3384893,,length,200,34.21846580505371,15,64,1073,True,A_prefill,3751,A_prefill,1784538327.1200235,3815,True
96,441,c492e16ca25b8e50e511b59e2d6d7aaab6e8828997ab418d274eec1043b252e8,1784538362.0915928,,length,200,34.97114300727844,16,96,1324,True,A_prefill,4646,A_prefill,1784538327.1204498,4742,True
96,452,674a8697be62cfcfeac596877cadbb8a4f56fd5f426a2d26984a592828ff1b13,1784538362.0928822,,length,200,34.97193241119385,17,96,1160,True,A_prefill,4101,A_prefill,1784538327.1209497,4197,True
64,304,00a1ea74467bead051f82652b8cbb32bc711585ee2b192095b3f176eed09c36f,1784538361.3402307,,length,200,34.21889781951904,18,64,1218,True,A_prefill,4270,A_prefill,1784538327.121333,4334,True
96,447,9f860d9b00fc056b7600c9ffa374cd89f7a1bca32b686735dad8b83bc7ebf24e,1784538362.3373823,,length,200,35.21561288833618,19,96,1335,True,A_prefill,4693,A_prefill,1784538327.1217694,4789,True
128,591,5937e460544b7fdd01c8f2a954054547e68cc5456ac240839b218bc09efe9dbb,1784538362.6880562,,length,200,35.565794944763184,20,128,1260,True,A_prefill,4397,A_prefill,1784538327.1222613,4525,True
128,521,315b12bb49c34549bec7c7bee0f208a2bbd2323154a2b7cc18b5069dabc1509a,1784538362.679664,,length,200,35.55685329437256,21,128,1311,True,A_prefill,4600,A_prefill,1784538327.1228106,4728,True
128,495,5bb5714b1406d9fb5a5a34002669b9108ff46c848d2a13f91e13025541a27735,1784538362.68078,,length,200,35.5570502281189,22,128,1088,True,A_prefill,3819,A_prefill,1784538327.1237297,3947,True
64,298,6c3655386fc52da7203604b4bc25d24ee33a898924cfbfcdb785a940521957f0,1784538361.338419,,length,200,34.21420073509216,23,64,1111,True,A_prefill,3911,A_prefill,1784538327.1242182,3975,True
96,466,913adca012c26516f9679a1db30ea68dcd5238787a84ff8f74dd087883a3b5f6,1784538362.0916996,,length,200,34.96684908866882,24,96,1126,True,A_prefill,3972,A_prefill,1784538327.1248505,4068,True
64,293,a6bde54c299abca6563298dcc27c87fdd32f4481ca3771e540d666220e150f84,1784538361.338584,,length,200,34.21321725845337,25,64,1328,True,A_prefill,4671,A_prefill,1784538327.1253667,4735,True
64,288,bf5f0fc70b3301e9b0376d748e88abe6fc5714508477c74dd7b11cefa52caaea,1784538361.340663,,length,200,34.214834690093994,26,64,1349,True,A_prefill,4756,A_prefill,1784538327.1258283,4820,True
128,575,537e7444a0899ebbb966993871b4354dcafb9d4b5488bc25bd29a0eb3dbea0e3,1784538362.6802976,,length,200,35.553938150405884,27,128,1159,True,A_prefill,4100,A_prefill,1784538327.1263595,4228,True
128,500,b798a311e9a40c795eee2103f2ed6785a383bb70a421c0d8f271b4b98c3402b1,1784538362.6881309,,length,200,35.56128644943237,28,128,1108,True,A_prefill,3905,A_prefill,1784538327.1268444,4033,True
64,300,6c86f2f6f8d613c61dc700079a962013d7153ec7875fca2e55bbf4ce1e6f7e33,1784538361.3862817,,length,200,34.259033203125,29,64,1260,True,A_prefill,4403,A_prefill,1784538327.1272485,4467,True
128,598,538f77eb85264e743389ffe922e75208374382a1866c25851659450e46f72f22,1784538362.9267051,,length,200,35.799034118652344,30,128,1328,True,A_prefill,4677,A_prefill,1784538327.127671,4805,True
96,409,4f03c2c925b4bf0b981c5b190a3d69756b05a4f4d21b5c76c8f41d57b5b83b86,1784538362.0917914,,length,200,34.96375036239624,31,96,1148,True,A_prefill,4067,A_prefill,1784538327.128041,4163,True
96,438,2ab3016b027a05ff32012c434e0b5c8ea1d570cca8d6ae39b7687740aee10fd5,1784538362.0928059,,length,200,34.96437859535217,32,96,1143,True,A_prefill,4048,A_prefill,1784538327.1284273,4144,True
